iter	Passed	Remaining
0	44	88065
1	61	61560
2	81	54288
3	84	41926
4	88	35332
5	91	30377
6	97	27886
7	101	25301
8	102	22634
9	104	20723
10	107	19410
11	110	18292
12	111	17028
13	111	15877
14	115	15291
15	117	14606
16	132	15473
17	133	14698
18	134	13997
19	136	13472
20	136	12889
21	137	12346
22	141	12123
23	142	11724
24	143	11303
25	145	11037
26	146	10705
27	149	10514
28	152	10333
29	168	11035
30	168	10724
31	169	10412
32	169	10116
33	175	10142
34	185	10391
35	199	10857
36	200	10630
37	202	10476
38	205	10344
39	206	10109
40	206	9873
41	207	9669
42	209	9537
43	211	9388
44	214	9298
45	216	9202
46	217	9032
47	218	8866
48	218	8715
49	230	8981
50	230	8822
51	233	8743
52	234	8597
53	241	8703
54	247	8752
55	248	8630
56	249	8494
57	249	8359
58	250	8232
59	250	8111
60	251	8001
61	262	8197
62	265	8155
63	270	8195
64	274	8167
65	288	8451
66	292	8440
67	294	8369
68	297	8315
69	309	8524
70	310	8429
71	311	8337
72	312	8242
73	325	8479
74	326	8384
75	339	8599
76	344	8597
77	346	8531
78	355	8636
79	358	8610
80	359	8515
81	360	8424
82	366	8469
83	378	8631
84	379	8545
85	395	8797
86	397	8736
87	400	8704
88	413	8874
89	416	8838
90	434	9121
91	435	9035
92	449	9209
93	453	9205
94	455	9125
95	461	9143
96	465	9133
97	466	9054
98	470	9039
99	483	9182
100	484	9115
101	485	9030
102	487	8983
103	488	8901
104	490	8844
105	494	8827
106	501	8868
107	502	8795
108	504	8758
109	507	8713
110	511	8705
111	520	8767
112	524	8755
113	526	8712
114	528	8656
115	535	8691
116	536	8641
117	540	8618
118	541	8557
119	554	8690
120	555	8631
121	556	8568
122	559	8535
123	563	8521
124	568	8525
125	571	8498
126	572	8443
127	573	8390
128	578	8392
129	583	8391
130	588	8403
131	593	8404
132	605	8493
133	608	8472
134	611	8452
135	620	8498
136	624	8487
137	624	8429
138	628	8413
139	630	8370
140	633	8355
141	637	8339
142	640	8312
143	642	8283
144	646	8266
145	650	8266
146	657	8291
147	662	8289
148	668	8298
149	675	8325
150	679	8316
151	682	8292
152	683	8246
153	685	8214
154	689	8204
155	690	8161
156	691	8117
157	693	8087
158	694	8043
159	695	8000
160	699	7991
161	706	8020
162	708	7983
163	711	7967
164	714	7944
165	716	7918
166	723	7940
167	725	7906
168	727	7887
169	730	7860
170	732	7830
171	738	7844
172	739	7805
173	744	7809
174	750	7823
175	756	7837
176	759	7819
177	760	7781
178	761	7745
179	762	7709
180	764	7680
181	772	7714
182	774	7688
183	775	7651
184	777	7625
185	784	7650
186	792	7684
187	796	7674
188	801	7682
189	802	7645
190	804	7621
191	808	7609
192	809	7578
193	812	7562
194	818	7572
195	819	7541
196	824	7542
197	826	7523
198	829	7508
199	832	7494
200	837	7494
201	841	7492
202	846	7491
203	849	7474
204	851	7453
205	855	7453
206	857	7430
207	861	7420
208	864	7412
209	867	7392
210	869	7373
211	874	7379
212	877	7360
213	882	7362
214	885	7352
215	889	7350
216	892	7334
217	896	7330
218	901	7331
219	907	7341
220	917	7388
221	924	7403
222	927	7392
223	939	7449
224	942	7438
225	946	7428
226	952	7440
227	956	7436
228	960	7428
229	974	7498
230	982	7525
231	990	7549
232	993	7531
233	1003	7571
234	1011	7597
235	1017	7603
236	1027	7640
237	1030	7629
238	1034	7622
239	1039	7625
240	1046	7640
241	1049	7621
242	1053	7619
243	1060	7630
244	1063	7621
245	1066	7606
246	1070	7595
247	1076	7605
248	1079	7589
249	1084	7588
250	1086	7569
251	1088	7553
252	1098	7587
253	1103	7586
254	1110	7599
255	1113	7585
256	1116	7568
257	1120	7566
258	1123	7555
